127.0.0.1	127.0.0.1	1	19910611
202.6.95.0	202.6.95.255	1	19910611
202.14.103.0	202.14.103.255	1	19930611
202.14.165.0	202.14.165.255	1	19930728
202.21.0.0	202.21.7.255	8	19930809
202.20.83.0	202.20.83.255	1	19930826
202.20.82.0	202.20.82.255	1	19930826
202.20.84.0	202.20.85.255	2	19930826
202.20.86.0	202.20.86.255	1	19930826
202.20.128.0	202.20.255.255	128	19930901
202.20.99.0	202.20.99.255	1	19930922
202.20.119.0	202.20.119.255	1	19931006
202.30.0.0	202.31.255.255	512	19931013
203.252.0.0	203.255.255.255	1024	19940531
203.248.0.0	203.251.255.255	1024	19941023
203.244.0.0	203.247.255.255	1024	19950222
203.240.0.0	203.243.255.255	1024	19950519
203.224.0.0	203.224.255.255	256	19950824
203.236.0.0	203.239.255.255	1024	19950828
203.225.0.0	203.225.255.255	256	19951214
203.234.0.0	203.235.255.255	512	19960109
203.232.0.0	203.233.255.255	512	19960228
203.226.0.0	203.227.255.255	512	19960505
203.228.0.0	203.229.255.255	512	19960505
203.230.0.0	203.231.255.255	512	19960505
210.124.0.0	210.127.255.255	1024	19960730
210.120.0.0	210.123.255.255	1024	19961126
210.116.0.0	210.119.255.255	1024	19961126
210.108.0.0	210.111.255.255	1024	19970430
210.112.0.0	210.115.255.255	1024	19970430
210.104.0.0	210.107.255.255	1024	19970830
210.100.0.0	210.103.255.255	1024	19971206
210.99.0.0	210.99.255.255	256	19980310
210.97.192.0	210.97.255.255	64	19980323
210.98.0.0	210.98.255.255	256	19980323
210.97.0.0	210.97.127.255	128	19980521
210.97.128.0	210.97.191.255	64	19980521
210.96.0.0	210.96.255.255	256	19980521
210.92.0.0	210.95.255.255	1024	19980915
210.182.0.0	210.183.255.255	512	19981124
210.178.0.0	210.179.255.255	512	19981124
210.180.0.0	210.181.255.255	512	19981124
210.90.0.0	210.91.255.255	512	19990324
210.216.0.0	210.219.255.255	1024	19990324
210.220.0.0	210.223.255.255	1024	19990525
210.204.0.0	210.207.255.255	1024	19990525
211.32.0.0	211.39.255.255	2048	19990827
211.40.0.0	211.51.255.255	3072	19991108
211.52.0.0	211.63.255.255	3072	20000216
211.104.0.0	211.111.255.255	2048	20000414
